set_id,set_name,card_id,local_id,name,types,hp,stage,rarity,artist,image
base1,Base Set,base1-25,25,Dewgong,,,,,,https://assets.tcgdex.net/en/base/base1/25
base1,Base Set,base1-26,26,Dratini,,,,,,https://assets.tcgdex.net/en/base/base1/26
base1,Base Set,base1-27,27,Farfetch'd,,,,,,https://assets.tcgdex.net/en/base/base1/27
base1,Base Set,base1-28,28,Growlithe,,,,,,https://assets.tcgdex.net/en/base/base1/28
base1,Base Set,base1-29,29,Haunter,,,,,,https://assets.tcgdex.net/en/base/base1/29
base1,Base Set,base1-30,30,Ivysaur,,,,,,https://assets.tcgdex.net/en/base/base1/30
base1,Base Set,base1-31,31,Jynx,,,,,,https://assets.tcgdex.net/en/base/base1/31
base1,Base Set,base1-32,32,Kadabra,,,,,,https://assets.tcgdex.net/en/base/base1/32
base1,Base Set,base1-33,33,Kakuna,,,,,,https://assets.tcgdex.net/en/base/base1/33
base1,Base Set,base1-34,34,Machoke,,,,,,https://assets.tcgdex.net/en/base/base1/34
base1,Base Set,base1-35,35,Magikarp,,,,,,https://assets.tcgdex.net/en/base/base1/35
base1,Base Set,base1-36,36,Magmar,,,,,,https://assets.tcgdex.net/en/base/base1/36
base1,Base Set,base1-37,37,Nidorino,,,,,,https://assets.tcgdex.net/en/base/base1/37
base1,Base Set,base1-38,38,Poliwhirl,,,,,,https://assets.tcgdex.net/en/base/base1/38
base1,Base Set,base1-39,39,Porygon,,,,,,https://assets.tcgdex.net/en/base/base1/39
base1,Base Set,base1-40,40,Raticate,,,,,,https://assets.tcgdex.net/en/base/base1/40
base1,Base Set,base1-41,41,Seel,,,,,,https://assets.tcgdex.net/en/base/base1/41
base1,Base Set,base1-42,42,Wartortle,,,,,,https://assets.tcgdex.net/en/base/base1/42
base1,Base Set,base1-43,43,Abra,,,,,,https://assets.tcgdex.net/en/base/base1/43
base1,Base Set,base1-44,44,Bulbasaur,,,,,,https://assets.tcgdex.net/en/base/base1/44
base1,Base Set,base1-45,45,Caterpie,,,,,,https://assets.tcgdex.net/en/base/base1/45
base1,Base Set,base1-46,46,Charmander,,,,,,https://assets.tcgdex.net/en/base/base1/46
base1,Base Set,base1-47,47,Diglett,,,,,,https://assets.tcgdex.net/en/base/base1/47
base1,Base Set,base1-48,48,Doduo,,,,,,https://assets.tcgdex.net/en/base/base1/48
base1,Base Set,base1-49,49,Drowzee,,,,,,https://assets.tcgdex.net/en/base/base1/49
base1,Base Set,base1-50,50,Gastly,,,,,,https://assets.tcgdex.net/en/base/base1/50
base1,Base Set,base1-51,51,Koffing,,,,,,https://assets.tcgdex.net/en/base/base1/51
base1,Base Set,base1-52,52,Machop,,,,,,https://assets.tcgdex.net/en/base/base1/52
base1,Base Set,base1-53,53,Magnemite,,,,,,https://assets.tcgdex.net/en/base/base1/53
base1,Base Set,base1-54,54,Metapod,,,,,,https://assets.tcgdex.net/en/base/base1/54
base1,Base Set,base1-55,55,Nidoran♂,,,,,,https://assets.tcgdex.net/en/base/base1/55
base1,Base Set,base1-56,56,Onix,,,,,,https://assets.tcgdex.net/en/base/base1/56
base1,Base Set,base1-57,57,Pidgey,,,,,,https://assets.tcgdex.net/en/base/base1/57
base1,Base Set,base1-58,58,Pikachu,,,,,,https://assets.tcgdex.net/en/base/base1/58
base1,Base Set,base1-59,59,Poliwag,,,,,,https://assets.tcgdex.net/en/base/base1/59
base1,Base Set,base1-60,60,Ponyta,,,,,,https://assets.tcgdex.net/en/base/base1/60
base1,Base Set,base1-61,61,Rattata,,,,,,https://assets.tcgdex.net/en/base/base1/61
base1,Base Set,base1-62,62,Sandshrew,,,,,,https://assets.tcgdex.net/en/base/base1/62
base1,Base Set,base1-63,63,Squirtle,,,,,,https://assets.tcgdex.net/en/base/base1/63
base1,Base Set,base1-64,64,Starmie,,,,,,https://assets.tcgdex.net/en/base/base1/64
base1,Base Set,base1-65,65,Staryu,,,,,,https://assets.tcgdex.net/en/base/base1/65
base1,Base Set,base1-66,66,Tangela,,,,,,https://assets.tcgdex.net/en/base/base1/66
base1,Base Set,base1-67,67,Voltorb,,,,,,https://assets.tcgdex.net/en/base/base1/67
base1,Base Set,base1-68,68,Vulpix,,,,,,https://assets.tcgdex.net/en/base/base1/68
base1,Base Set,base1-69,69,Weedle,,,,,,https://assets.tcgdex.net/en/base/base1/69
base1,Base Set,base1-70,70,Clefairy Doll,,,,,,https://assets.tcgdex.net/en/base/base1/70
base1,Base Set,base1-71,71,Computer Search,,,,,,https://assets.tcgdex.net/en/base/base1/71
base1,Base Set,base1-72,72,Devolution Spray,,,,,,https://assets.tcgdex.net/en/base/base1/72
base1,Base Set,base1-73,73,Impostor Professor Oak,,,,,,https://assets.tcgdex.net/en/base/base1/73
base1,Base Set,base1-74,74,Item Finder,,,,,,https://assets.tcgdex.net/en/base/base1/74
base1,Base Set,base1-75,75,Lass,,,,,,https://assets.tcgdex.net/en/base/base1/75
base1,Base Set,base1-76,76,Pokémon Breeder,,,,,,https://assets.tcgdex.net/en/base/base1/76
base1,Base Set,base1-77,77,Pokémon Trader,,,,,,https://assets.tcgdex.net/en/base/base1/77
base1,Base Set,base1-78,78,Scoop Up,,,,,,https://assets.tcgdex.net/en/base/base1/78
base1,Base Set,base1-79,79,Super Energy Removal,,,,,,https://assets.tcgdex.net/en/base/base1/79
base1,Base Set,base1-80,80,Defender,,,,,,https://assets.tcgdex.net/en/base/base1/80
base1,Base Set,base1-81,81,Energy Retrieval,,,,,,https://assets.tcgdex.net/en/base/base1/81
base1,Base Set,base1-82,82,Full Heal,,,,,,https://assets.tcgdex.net/en/base/base1/82
base1,Base Set,base1-83,83,Maintenance,,,,,,https://assets.tcgdex.net/en/base/base1/83
base1,Base Set,base1-84,84,PlusPower,,,,,,https://assets.tcgdex.net/en/base/base1/84
base1,Base Set,base1-85,85,Pokémon Center,,,,,,https://assets.tcgdex.net/en/base/base1/85
base1,Base Set,base1-86,86,Pokémon Flute,,,,,,https://assets.tcgdex.net/en/base/base1/86
base1,Base Set,base1-87,87,Pokédex,,,,,,https://assets.tcgdex.net/en/base/base1/87
base1,Base Set,base1-88,88,Professor Oak,,,,,,https://assets.tcgdex.net/en/base/base1/88
base1,Base Set,base1-89,89,Revive,,,,,,https://assets.tcgdex.net/en/base/base1/89
base1,Base Set,base1-90,90,Super Potion,,,,,,https://assets.tcgdex.net/en/base/base1/90
base1,Base Set,base1-91,91,Bill,,,,,,https://assets.tcgdex.net/en/base/base1/91
base1,Base Set,base1-92,92,Energy Removal,,,,,,https://assets.tcgdex.net/en/base/base1/92
base1,Base Set,base1-93,93,Gust of Wind,,,,,,https://assets.tcgdex.net/en/base/base1/93
base1,Base Set,base1-94,94,Potion,,,,,,https://assets.tcgdex.net/en/base/base1/94
base1,Base Set,base1-95,95,Switch,,,,,,https://assets.tcgdex.net/en/base/base1/95
base1,Base Set,base1-96,96,Double Colorless Energy,,,,,,https://assets.tcgdex.net/en/base/base1/96
base1,Base Set,base1-97,97,Fighting Energy,,,,,,https://assets.tcgdex.net/en/base/base1/97
base1,Base Set,base1-98,98,Fire Energy,,,,,,https://assets.tcgdex.net/en/base/base1/98
base1,Base Set,base1-99,99,Grass Energy,,,,,,https://assets.tcgdex.net/en/base/base1/99
base1,Base Set,base1-100,100,Lightning Energy,,,,,,https://assets.tcgdex.net/en/base/base1/100
base1,Base Set,base1-101,101,Psychic Energy,,,,,,https://assets.tcgdex.net/en/base/base1/101
base1,Base Set,base1-102,102,Water Energy,,,,,,https://assets.tcgdex.net/en/base/base1/102
base2,Jungle,base2-1,1,Clefable,,,,,,https://assets.tcgdex.net/en/base/base2/1
base2,Jungle,base2-2,2,Electrode,,,,,,https://assets.tcgdex.net/en/base/base2/2
base2,Jungle,base2-3,3,Flareon,,,,,,https://assets.tcgdex.net/en/base/base2/3
base2,Jungle,base2-4,4,Jolteon,,,,,,https://assets.tcgdex.net/en/base/base2/4
base2,Jungle,base2-5,5,Kangaskhan,,,,,,https://assets.tcgdex.net/en/base/base2/5
base2,Jungle,base2-6,6,Mr. Mime,,,,,,https://assets.tcgdex.net/en/base/base2/6
base2,Jungle,base2-7,7,Nidoqueen,,,,,,https://assets.tcgdex.net/en/base/base2/7
base2,Jungle,base2-8,8,Pidgeot,,,,,,https://assets.tcgdex.net/en/base/base2/8
base2,Jungle,base2-9,9,Pinsir,,,,,,https://assets.tcgdex.net/en/base/base2/9
base2,Jungle,base2-10,10,Scyther,,,,,,https://assets.tcgdex.net/en/base/base2/10
base2,Jungle,base2-11,11,Snorlax,,,,,,https://assets.tcgdex.net/en/base/base2/11
base2,Jungle,base2-12,12,Vaporeon,,,,,,https://assets.tcgdex.net/en/base/base2/12
base2,Jungle,base2-13,13,Venomoth,,,,,,https://assets.tcgdex.net/en/base/base2/13
base2,Jungle,base2-14,14,Victreebel,,,,,,https://assets.tcgdex.net/en/base/base2/14
base2,Jungle,base2-15,15,Vileplume,,,,,,https://assets.tcgdex.net/en/base/base2/15
base2,Jungle,base2-16,16,Wigglytuff,,,,,,https://assets.tcgdex.net/en/base/base2/16
base2,Jungle,base2-17,17,Clefable,,,,,,https://assets.tcgdex.net/en/base/base2/17
base2,Jungle,base2-18,18,Electrode,,,,,,https://assets.tcgdex.net/en/base/base2/18
base2,Jungle,base2-19,19,Flareon,,,,,,https://assets.tcgdex.net/en/base/base2/19
base2,Jungle,base2-20,20,Jolteon,,,,,,https://assets.tcgdex.net/en/base/base2/20
base2,Jungle,base2-21,21,Kangaskhan,,,,,,https://assets.tcgdex.net/en/base/base2/21
base2,Jungle,base2-22,22,Mr. Mime,,,,,,https://assets.tcgdex.net/en/base/base2/22
base2,Jungle,base2-23,23,Nidoqueen,,,,,,https://assets.tcgdex.net/en/base/base2/23
base2,Jungle,base2-24,24,Pidgeot,,,,,,https://assets.tcgdex.net/en/base/base2/24
base2,Jungle,base2-25,25,Pinsir,,,,,,https://assets.tcgdex.net/en/base/base2/25
base2,Jungle,base2-26,26,Scyther,,,,,,https://assets.tcgdex.net/en/base/base2/26
base2,Jungle,base2-27,27,Snorlax,,,,,,https://assets.tcgdex.net/en/base/base2/27
base2,Jungle,base2-28,28,Vaporeon,,,,,,https://assets.tcgdex.net/en/base/base2/28
base2,Jungle,base2-29,29,Venomoth,,,,,,https://assets.tcgdex.net/en/base/base2/29
base2,Jungle,base2-30,30,Victreebel,,,,,,https://assets.tcgdex.net/en/base/base2/30
base2,Jungle,base2-31,31,Vileplume,,,,,,https://assets.tcgdex.net/en/base/base2/31
base2,Jungle,base2-32,32,Wigglytuff,,,,,,https://assets.tcgdex.net/en/base/base2/32
base2,Jungle,base2-33,33,Butterfree,,,,,,https://assets.tcgdex.net/en/base/base2/33
base2,Jungle,base2-34,34,Dodrio,,,,,,https://assets.tcgdex.net/en/base/base2/34
base2,Jungle,base2-35,35,Exeggutor,,,,,,https://assets.tcgdex.net/en/base/base2/35
base2,Jungle,base2-36,36,Fearow,,,,,,https://assets.tcgdex.net/en/base/base2/36
base2,Jungle,base2-37,37,Gloom,,,,,,https://assets.tcgdex.net/en/base/base2/37
base2,Jungle,base2-38,38,Lickitung,,,,,,https://assets.tcgdex.net/en/base/base2/38
base2,Jungle,base2-39,39,Marowak,,,,,,https://assets.tcgdex.net/en/base/base2/39
base2,Jungle,base2-40,40,Nidorina,,,,,,https://assets.tcgdex.net/en/base/base2/40
base2,Jungle,base2-41,41,Parasect,,,,,,https://assets.tcgdex.net/en/base/base2/41
base2,Jungle,base2-42,42,Persian,,,,,,https://assets.tcgdex.net/en/base/base2/42
base2,Jungle,base2-43,43,Primeape,,,,,,https://assets.tcgdex.net/en/base/base2/43
base2,Jungle,base2-44,44,Rapidash,,,,,,https://assets.tcgdex.net/en/base/base2/44
base2,Jungle,base2-45,45,Rhydon,,,,,,https://assets.tcgdex.net/en/base/base2/45
base2,Jungle,base2-46,46,Seaking,,,,,,https://assets.tcgdex.net/en/base/base2/46
base2,Jungle,base2-47,47,Tauros,,,,,,https://assets.tcgdex.net/en/base/base2/47
base2,Jungle,base2-48,48,Weepinbell,,,,,,https://assets.tcgdex.net/en/base/base2/48
base2,Jungle,base2-49,49,Bellsprout,,,,,,https://assets.tcgdex.net/en/base/base2/49
base2,Jungle,base2-50,50,Cubone,,,,,,https://assets.tcgdex.net/en/base/base2/50
base2,Jungle,base2-51,51,Eevee,,,,,,https://assets.tcgdex.net/en/base/base2/51
base2,Jungle,base2-52,52,Exeggcute,,,,,,https://assets.tcgdex.net/en/base/base2/52
base2,Jungle,base2-53,53,Goldeen,,,,,,https://assets.tcgdex.net/en/base/base2/53
base2,Jungle,base2-54,54,Jigglypuff,,,,,,https://assets.tcgdex.net/en/base/base2/54
base2,Jungle,base2-55,55,Mankey,,,,,,https://assets.tcgdex.net/en/base/base2/55
base2,Jungle,base2-56,56,Meowth,,,,,,https://assets.tcgdex.net/en/base/base2/56
base2,Jungle,base2-57,57,Nidoran♀,,,,,,https://assets.tcgdex.net/en/base/base2/57
base2,Jungle,base2-58,58,Oddish,,,,,,https://assets.tcgdex.net/en/base/base2/58
base2,Jungle,base2-59,59,Paras,,,,,,https://assets.tcgdex.net/en/base/base2/59
base2,Jungle,base2-60,60,Pikachu,,,,,,https://assets.tcgdex.net/en/base/base2/60
base2,Jungle,base2-61,61,Rhyhorn,,,,,,https://assets.tcgdex.net/en/base/base2/61
base2,Jungle,base2-62,62,Spearow,,,,,,https://assets.tcgdex.net/en/base/base2/62
base2,Jungle,base2-63,63,Venonat,,,,,,https://assets.tcgdex.net/en/base/base2/63
base2,Jungle,base2-64,64,Poké Ball,,,,,,https://assets.tcgdex.net/en/base/base2/64
basep,Wizards Black Star Promos,basep-1,1,Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/1
basep,Wizards Black Star Promos,basep-2,2,Electabuzz,,,,,,https://assets.tcgdex.net/en/base/basep/2
basep,Wizards Black Star Promos,basep-3,3,Mewtwo,,,,,,https://assets.tcgdex.net/en/base/basep/3
basep,Wizards Black Star Promos,basep-4,4,Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/4
basep,Wizards Black Star Promos,basep-5,5,Dragonite,,,,,,https://assets.tcgdex.net/en/base/basep/5
basep,Wizards Black Star Promos,basep-6,6,Arcanine,,,,,,https://assets.tcgdex.net/en/base/basep/6
basep,Wizards Black Star Promos,basep-7,7,Jigglypuff,,,,,,https://assets.tcgdex.net/en/base/basep/7
basep,Wizards Black Star Promos,basep-8,8,Mew,,,,,,https://assets.tcgdex.net/en/base/basep/8
basep,Wizards Black Star Promos,basep-9,9,Mew,,,,,,https://assets.tcgdex.net/en/base/basep/9
basep,Wizards Black Star Promos,basep-10,10,Meowth,,,,,,https://assets.tcgdex.net/en/base/basep/10
basep,Wizards Black Star Promos,basep-11,11,Eevee,,,,,,https://assets.tcgdex.net/en/base/basep/11
basep,Wizards Black Star Promos,basep-12,12,Mewtwo,,,,,,https://assets.tcgdex.net/en/base/basep/12
basep,Wizards Black Star Promos,basep-13,13,Venusaur,,,,,,https://assets.tcgdex.net/en/base/basep/13
basep,Wizards Black Star Promos,basep-14,14,Mewtwo,,,,,,https://assets.tcgdex.net/en/base/basep/14
basep,Wizards Black Star Promos,basep-15,15,Cool Porygon,,,,,,https://assets.tcgdex.net/en/base/basep/15
basep,Wizards Black Star Promos,basep-16,16,Computer Error,,,,,,https://assets.tcgdex.net/en/base/basep/16
basep,Wizards Black Star Promos,basep-17,17,Dark Persian,,,,,,https://assets.tcgdex.net/en/base/basep/17
basep,Wizards Black Star Promos,basep-18,18,Team Rocket's Meowth,,,,,,https://assets.tcgdex.net/en/base/basep/18
basep,Wizards Black Star Promos,basep-19,19,Sabrina's Abra,,,,,,https://assets.tcgdex.net/en/base/basep/19
basep,Wizards Black Star Promos,basep-20,20,Psyduck,,,,,,https://assets.tcgdex.net/en/base/basep/20
basep,Wizards Black Star Promos,basep-21,21,Moltres,,,,,,https://assets.tcgdex.net/en/base/basep/21
basep,Wizards Black Star Promos,basep-22,22,Articuno,,,,,,https://assets.tcgdex.net/en/base/basep/22
basep,Wizards Black Star Promos,basep-23,23,Zapdos,,,,,,https://assets.tcgdex.net/en/base/basep/23
basep,Wizards Black Star Promos,basep-24,24,___________'s Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/24
basep,Wizards Black Star Promos,basep-25,25,Flying Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/25
basep,Wizards Black Star Promos,basep-26,26,Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/26
basep,Wizards Black Star Promos,basep-27,27,Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/27
basep,Wizards Black Star Promos,basep-28,28,Surfing Pikachu,,,,,,https://assets.tcgdex.net/en/base/basep/28
basep,Wizards Black Star Promos,basep-29,29,Marill,,,,,,https://assets.tcgdex.net/en/base/basep/29
basep,Wizards Black Star Promos,basep-30,30,Togepi,,,,,,https://assets.tcgdex.net/en/base/basep/30
basep,Wizards Black Star Promos,basep-31,31,Cleffa,,,,,,https://assets.tcgdex.net/en/base/basep/31
basep,Wizards Black Star Promos,basep-32,32,Smeargle,,,,,,https://assets.tcgdex.net/en/base/basep/32
basep,Wizards Black Star Promos,basep-33,33,Scizor,,,,,,https://assets.tcgdex.net/en/base/basep/33
basep,Wizards Black Star Promos,basep-34,34,Entei,,,,,,https://assets.tcgdex.net/en/base/basep/34
basep,Wizards Black Star Promos,basep-35,35,Pichu,,,,,,https://assets.tcgdex.net/en/base/basep/35
basep,Wizards Black Star Promos,basep-36,36,Igglybuff,,,,,,https://assets.tcgdex.net/en/base/basep/36
basep,Wizards Black Star Promos,basep-37,37,Hitmontop,,,,,,https://assets.tcgdex.net/en/base/basep/37
basep,Wizards Black Star Promos,basep-38,38,Unown [J],,,,,,https://assets.tcgdex.net/en/base/basep/38
basep,Wizards Black Star Promos,basep-39,39,Misdreavus,,,,,,https://assets.tcgdex.net/en/base/basep/39
basep,Wizards Black Star Promos,basep-40,40,Pokémon Center,,,,,,https://assets.tcgdex.net/en/base/basep/40
basep,Wizards Black Star Promos,basep-41,41,Lucky Stadium,,,,,,https://assets.tcgdex.net/en/base/basep/41
basep,Wizards Black Star Promos,basep-42,42,Pokémon Tower,,,,,,https://assets.tcgdex.net/en/base/basep/42
basep,Wizards Black Star Promos,basep-43,43,Machamp,,,,,,https://assets.tcgdex.net/en/base/basep/43
basep,Wizards Black Star Promos,basep-44,44,Magmar,,,,,,https://assets.tcgdex.net/en/base/basep/44
basep,Wizards Black Star Promos,basep-45,45,Scyther,,,,,,https://assets.tcgdex.net/en/base/basep/45
basep,Wizards Black Star Promos,basep-46,46,Electabuzz,,,,,,https://assets.tcgdex.net/en/base/basep/46
basep,Wizards Black Star Promos,basep-47,47,Mew,,,,,,https://assets.tcgdex.net/en/base/basep/47
basep,Wizards Black Star Promos,basep-48,48,Articuno,,,,,,https://assets.tcgdex.net/en/base/basep/48
basep,Wizards Black Star Promos,basep-49,49,Snorlax,,,,,,https://assets.tcgdex.net/en/base/basep/49
basep,Wizards Black Star Promos,basep-50,50,Celebi,,,,,,https://assets.tcgdex.net/en/base/basep/50
basep,Wizards Black Star Promos,basep-51,51,Rapidash,,,,,,https://assets.tcgdex.net/en/base/basep/51
basep,Wizards Black Star Promos,basep-52,52,Ho-oh,,,,,,https://assets.tcgdex.net/en/base/basep/52
basep,Wizards Black Star Promos,basep-53,53,Suicune,,,,,,https://assets.tcgdex.net/en/base/basep/53
base3,Fossil,base3-1,1,Aerodactyl,,,,,,https://assets.tcgdex.net/en/base/base3/1
base3,Fossil,base3-2,2,Articuno,,,,,,https://assets.tcgdex.net/en/base/base3/2
base3,Fossil,base3-3,3,Ditto,,,,,,https://assets.tcgdex.net/en/base/base3/3
base3,Fossil,base3-4,4,Dragonite,,,,,,https://assets.tcgdex.net/en/base/base3/4
base3,Fossil,base3-5,5,Gengar,,,,,,https://assets.tcgdex.net/en/base/base3/5
base3,Fossil,base3-6,6,Haunter,,,,,,https://assets.tcgdex.net/en/base/base3/6
base3,Fossil,base3-7,7,Hitmonlee,,,,,,https://assets.tcgdex.net/en/base/base3/7
base3,Fossil,base3-8,8,Hypno,,,,,,https://assets.tcgdex.net/en/base/base3/8
base3,Fossil,base3-9,9,Kabutops,,,,,,https://assets.tcgdex.net/en/base/base3/9
base3,Fossil,base3-10,10,Lapras,,,,,,https://assets.tcgdex.net/en/base/base3/10
base3,Fossil,base3-11,11,Magneton,,,,,,https://assets.tcgdex.net/en/base/base3/11
base3,Fossil,base3-12,12,Moltres,,,,,,https://assets.tcgdex.net/en/base/base3/12
base3,Fossil,base3-13,13,Muk,,,,,,https://assets.tcgdex.net/en/base/base3/13
base3,Fossil,base3-14,14,Raichu,,,,,,https://assets.tcgdex.net/en/base/base3/14
base3,Fossil,base3-15,15,Zapdos,,,,,,https://assets.tcgdex.net/en/base/base3/15
base3,Fossil,base3-16,16,Aerodactyl,,,,,,https://assets.tcgdex.net/en/base/base3/16
base3,Fossil,base3-17,17,Articuno,,,,,,https://assets.tcgdex.net/en/base/base3/17
base3,Fossil,base3-18,18,Ditto,,,,,,https://assets.tcgdex.net/en/base/base3/18
base3,Fossil,base3-19,19,Dragonite,,,,,,https://assets.tcgdex.net/en/base/base3/19
base3,Fossil,base3-20,20,Gengar,,,,,,https://assets.tcgdex.net/en/base/base3/20
base3,Fossil,base3-21,21,Haunter,,,,,,https://assets.tcgdex.net/en/base/base3/21
base3,Fossil,base3-22,22,Hitmonlee,,,,,,https://assets.tcgdex.net/en/base/base3/22
base3,Fossil,base3-23,23,Hypno,,,,,,https://assets.tcgdex.net/en/base/base3/23
base3,Fossil,base3-24,24,Kabutops,,,,,,https://assets.tcgdex.net/en/base/base3/24
base3,Fossil,base3-25,25,Lapras,,,,,,https://assets.tcgdex.net/en/base/base3/25
base3,Fossil,base3-26,26,Magneton,,,,,,https://assets.tcgdex.net/en/base/base3/26
base3,Fossil,base3-27,27,Moltres,,,,,,https://assets.tcgdex.net/en/base/base3/27
base3,Fossil,base3-28,28,Muk,,,,,,https://assets.tcgdex.net/en/base/base3/28
base3,Fossil,base3-29,29,Raichu,,,,,,https://assets.tcgdex.net/en/base/base3/29
base3,Fossil,base3-30,30,Zapdos,,,,,,https://assets.tcgdex.net/en/base/base3/30
base3,Fossil,base3-31,31,Arbok,,,,,,https://assets.tcgdex.net/en/base/base3/31
base3,Fossil,base3-32,32,Cloyster,,,,,,https://assets.tcgdex.net/en/base/base3/32
base3,Fossil,base3-33,33,Gastly,,,,,,https://assets.tcgdex.net/en/base/base3/33
base3,Fossil,base3-34,34,Golbat,,,,,,https://assets.tcgdex.net/en/base/base3/34
base3,Fossil,base3-35,35,Golduck,,,,,,https://assets.tcgdex.net/en/base/base3/35
base3,Fossil,base3-36,36,Golem,,,,,,https://assets.tcgdex.net/en/base/base3/36
base3,Fossil,base3-37,37,Graveler,,,,,,https://assets.tcgdex.net/en/base/base3/37
base3,Fossil,base3-38,38,Kingler,,,,,,https://assets.tcgdex.net/en/base/base3/38
base3,Fossil,base3-39,39,Magmar,,,,,,https://assets.tcgdex.net/en/base/base3/39
base3,Fossil,base3-40,40,Omastar,,,,,,https://assets.tcgdex.net/en/base/base3/40
base3,Fossil,base3-41,41,Sandslash,,,,,,https://assets.tcgdex.net/en/base/base3/41
base3,Fossil,base3-42,42,Seadra,,,,,,https://assets.tcgdex.net/en/base/base3/42
base3,Fossil,base3-43,43,Slowbro,,,,,,https://assets.tcgdex.net/en/base/base3/43
base3,Fossil,base3-44,44,Tentacruel,,,,,,https://assets.tcgdex.net/en/base/base3/44
base3,Fossil,base3-45,45,Weezing,,,,,,https://assets.tcgdex.net/en/base/base3/45
base3,Fossil,base3-46,46,Ekans,,,,,,https://assets.tcgdex.net/en/base/base3/46
base3,Fossil,base3-47,47,Geodude,,,,,,https://assets.tcgdex.net/en/base/base3/47
base3,Fossil,base3-48,48,Grimer,,,,,,https://assets.tcgdex.net/en/base/base3/48
base3,Fossil,base3-49,49,Horsea,,,,,,https://assets.tcgdex.net/en/base/base3/49
base3,Fossil,base3-50,50,Kabuto,,,,,,https://assets.tcgdex.net/en/base/base3/50
base3,Fossil,base3-51,51,Krabby,,,,,,https://assets.tcgdex.net/en/base/base3/51
base3,Fossil,base3-52,52,Omanyte,,,,,,https://assets.tcgdex.net/en/base/base3/52
base3,Fossil,base3-53,53,Psyduck,,,,,,https://assets.tcgdex.net/en/base/base3/53
base3,Fossil,base3-54,54,Shellder,,,,,,https://assets.tcgdex.net/en/base/base3/54
base3,Fossil,base3-55,55,Slowpoke,,,,,,https://assets.tcgdex.net/en/base/base3/55
base3,Fossil,base3-56,56,Tentacool,,,,,,https://assets.tcgdex.net/en/base/base3/56
base3,Fossil,base3-57,57,Zubat,,,,,,https://assets.tcgdex.net/en/base/base3/57
base3,Fossil,base3-58,58,Mr. Fuji,,,,,,https://assets.tcgdex.net/en/base/base3/58
base3,Fossil,base3-59,59,Energy Search,,,,,,https://assets.tcgdex.net/en/base/base3/59
base3,Fossil,base3-60,60,Gambler,,,,,,https://assets.tcgdex.net/en/base/base3/60
